zona,subzona,distrito,provincia,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,presunta_motivacion,presun_motiva_observada,edad,sexo,etnia,estado_civil,nacionalidad,discapacidad,dia_semana,es_fin_semana,hora,franja_horaria,y
ZONA 6,AZUAY,CUENCA NORTE,AZUAY,CUENCA,-2.88773,-78.97288,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,ROBO A DOMICILIOS,70,HOMBRE,MESTIZO/A,DIVORCIADO,ECUADOR,NINGUNA,0,0,19,NOCHE,OTRAS
ZONA 5,LOS RIOS,BUENA FE,LOS RIOS,VALENCIA,-0.90228,-79.4375,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,SECUESTRO EXPRESS,21,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,23,NOCHE,ARMA_BLANCA
ZONA 4,STO DGO DE LOS TSACHILAS,SANTO DOMINGO ESTE,STO DGO DE LOS TSACHILAS,SANTO DOMINGO,-0.31275,-78.93276,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,ROBO A DOMICILIOS,71,MUJER,MESTIZO/A,CASADO,ECUADOR,NINGUNA,4,0,19,NOCHE,OTRAS
ZONA 5,BOLIVAR,GUARANDA,BOLIVAR,GUARANDA,-1.58817,-79.00142,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),19,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,3,0,5,MADRUGADA,ARMA_BLANCA
ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUAYAS,GUAYAQUIL,-2.86483,-80.25103,URBANO,MAR,PUBLICO,DELINCUENCIA COMUN,AMENAZA,39,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,13,TARDE,ARMA_FUEGO
ZONA 4,MANABI,PORTOVIEJO,MANABI,PORTOVIEJO,-1.05019,-80.45255,URBANO,EMPRESAS PUBLICAS,PRIVADO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),36,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,7,MANANA,ARMA_CONTUNDENTE
ZONA 7,EL ORO,MACHALA,EL ORO,MACHALA,-3.2641,-79.96379,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,AMENAZA,23,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,18,NOCHE,OTRAS
ZONA 1,ESMERALDAS,ATACAMES,ESMERALDAS,ATACAMES,0.8738376699831208,-79.8148304722442,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,20,HOMBRE,AFRO,SOLTERO,ECUADOR,NINGUNA,6,1,22,NOCHE,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,GUAYAS,GUAYAQUIL,-2.10683,-79.96885,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,24,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,3,0,18,NOCHE,ARMA_BLANCA
ZONA 9,D.M. QUITO,CALDERON,PICHINCHA,QUITO,-0.06368,-78.44147,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,21,HOMBRE,AFRO,SOLTERO,ECUADOR,NINGUNA,6,1,2,MADRUGADA,ARMA_CONTUNDENTE
