zona,subzona,distrito,provincia,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,presunta_motivacion,presun_motiva_observada,edad,sexo,etnia,estado_civil,nacionalidad,discapacidad,dia_semana,es_fin_semana,hora,franja_horaria,y
ZONA 8,D.M. GUAYAQUIL,PASCUALES,GUAYAS,GUAYAQUIL,-2.0254,-79.94922,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,31,MUJER,MESTIZO/A,CASADO,ECUADOR,NINGUNA,4,0,10,MANANA,ARMA_FUEGO
ZONA 1,ESMERALDAS,ELOY ALFARO - ESM,ESMERALDAS,ELOY ALFARO,1.0859050880634,-79.15972888469699,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,ACTOS DE ODIO,29,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,4,MADRUGADA,ARMA_FUEGO
ZONA 9,D.M. QUITO,QUITUMBE,PICHINCHA,QUITO,-0.30286,-78.5562,URBANO,CASA/VILLA,PRIVADO,VIOLENCIA INTRAFAMILIAR,MALTRATO,26,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,9,MANANA,ARMA_BLANCA
ZONA 6,MORONA SANTIAGO,SANGAY,MORONA SANTIAGO,HUAMBOYA,-2.00875,-77.94168,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,20,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,3,0,2,MADRUGADA,ARMA_CONTUNDENTE
ZONA 5,LOS RIOS,BUENA FE,LOS RIOS,BUENA FE,-0.88487,-79.4851,URBANO,TERRENO BALDIO,PUBLICO,DELINCUENCIA COMUN,AMENAZA,27,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,4,MADRUGADA,ARMA_BLANCA
ZONA 8,D.M. GUAYAQUIL,PASCUALES,GUAYAS,GUAYAQUIL,-2.07491,-79.93364,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,57,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,7,MANANA,ARMA_FUEGO
ZONA 5,LOS RIOS,VINCES,LOS RIOS,VINCES,-1.566824,-79.850037,RURAL,CANCHAS DE USO MULTIPLE,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,21,HOMBRE,MONTUBIO/A,SOLTERO,ECUADOR,NINGUNA,6,1,22,NOCHE,ARMA_FUEGO
ZONA 5,LOS RIOS,VENTANAS,LOS RIOS,VENTANAS,-1.45223,-79.46387,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,21,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,12,TARDE,ARMA_FUEGO
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,0.91463,-79.6977,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,VIOLENCIA COMUNITARIA,ACTOS DE ODIO,23,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,22,NOCHE,OTRAS
ZONA 6,AZUAY,CUENCA NORTE,AZUAY,CUENCA,-2.88938,-79.07735,URBANO,TERRENO BALDIO,PUBLICO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,23,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,21,NOCHE,ARMA_CONTUNDENTE
ZONA 9,D.M. QUITO,MANUELA SAENZ,PICHINCHA,QUITO,-0.22395,-78.52116,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,41,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,2,0,3,MADRUGADA,ARMA_BLANCA
ZONA 4,MANABI,SUCRE,MANABI,SUCRE,-0.59953,-80.42443,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,72,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,4,0,1,MADRUGADA,ARMA_CONTUNDENTE
ZONA 5,GUAYAS,EMPALME,GUAYAS,EL EMPALME,-1.00258,-79.57874,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,ROBO A PERSONAS,77,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,4,0,18,NOCHE,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,PASCUALES,GUAYAS,GUAYAQUIL,-2.0523,-79.94375,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,AMENAZA,41,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,0,0,17,TARDE,OTRAS
ZONA 5,GUAYAS,EL TRIUNFO BUCAY,GUAYAS,EL TRIUNFO,-2.25801,-79.2097,RURAL,FINCA,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,37,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,3,0,23,NOCHE,OTRAS
ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUAYAS,GUAYAQUIL,-2.263443,-79.88278599999998,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,ROBO A PERSONAS,31,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,21,NOCHE,ARMA_FUEGO
ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,GUAYAS,GUAYAQUIL,-2.11406,-80.00826,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,36,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,15,TARDE,OTRAS
ZONA 5,LOS RIOS,QUEVEDO,LOS RIOS,QUEVEDO,-1.02288099999999,-79.47067,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,46,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,23,NOCHE,ARMA_CONTUNDENTE
ZONA 5,GUAYAS,PLAYAS,GUAYAS,PLAYAS,-2.5319,-80.39389,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,51,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,6,1,14,TARDE,ARMA_FUEGO
ZONA 3,TUNGURAHUA,AMBATO SUR,TUNGURAHUA,AMBATO,-1.30332,-78.60103,URBANO,CASA/VILLA,PRIVADO,VIOLENCIA COMUNITARIA,EMOCIONAL,13,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,14,TARDE,OTRAS
ZONA 5,GUAYAS,EMPALME,GUAYAS,EL EMPALME,-0.90722,-79.54836,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,21,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,9,MANANA,OTRAS
ZONA 9,D.M. QUITO,TUMBACO,PICHINCHA,QUITO,-0.22887,-78.45658,URBANO,TERRENO BALDIO,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,45,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,1,0,6,MANANA,ARMA_CONTUNDENTE
ZONA 5,GUAYAS,NARANJAL BALAO,GUAYAS,BALAO,-2.91057,-79.81572,URBANO,"TIENDAS, MICROMERCADO, ABARROTES",PRIVADO,DELINCUENCIA COMUN,ROBO A PERSONAS,38,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,5,1,20,NOCHE,ARMA_FUEGO
ZONA 8,D.M. GUAYAQUIL,9 DE OCTUBRE,GUAYAS,GUAYAQUIL,-2.21157,-79.91145,URBANO,"FUNDACIONES, ASOCIACIONES Y ORGANIZACIONES",PRIVADO,VIOLENCIA COMUNITARIA,RINAS,21,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,1,MADRUGADA,OTRAS
ZONA 1,ESMERALDAS,SAN LORENZO,ESMERALDAS,SAN LORENZO,1.22263,-78.75241,RURAL,HACIENDAS,PRIVADO,TRANSNACIONAL,TRAFICO INTERNACIONAL DE DROGA,49,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,3,0,21,NOCHE,ARMA_FUEGO
ZONA 6,MORONA SANTIAGO,SANGAY,MORONA SANTIAGO,PALORA,-1.74643,-77.91457,URBANO,FINCA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,16,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,1,MADRUGADA,OTRAS
ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUAYAS,GUAYAQUIL,-2.285143,-79.875618,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,20,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,22,NOCHE,ARMA_FUEGO
ZONA 7,EL ORO,ZARUMA,EL ORO,ATAHUALPA,-3.61709,-79.67603,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,ROBO A DOMICILIOS,43,HOMBRE,MESTIZO/A,DIVORCIADO,ECUADOR,NINGUNA,3,0,8,MANANA,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,PORTETE,GUAYAS,GUAYAQUIL,-2.20278999999999,-79.91537599999998,URBANO,DISCOTECAS,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,21,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,6,MANANA,ARMA_FUEGO
ZONA 8,D.M. GUAYAQUIL,ESTEROS,GUAYAS,GUAYAQUIL,-2.22913917256052,-79.9012024328113,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),40,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,21,NOCHE,ARMA_FUEGO
ZONA 4,MANABI,ROCAFUERTE,MANABI,TOSAGUA,-0.8181,-80.26278,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,26,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,6,1,6,MANANA,OTRAS
ZONA 6,AZUAY,GIRON,AZUAY,PUCARA,-3.27788,-79.62298,RURAL,TERRENO BALDIO,PUBLICO,DELINCUENCIA COMUN,AMENAZA,30,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,2,MADRUGADA,OTRAS
ZONA 4,MANABI,EL CARMEN,MANABI,EL CARMEN,-0.27299,-79.43088,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,27,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,3,MADRUGADA,ARMA_BLANCA
ZONA 1,ESMERALDAS,RIO VERDE,ESMERALDAS,RIOVERDE,0.9303,-79.36969999999998,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,56,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,9,MANANA,ARMA_CONTUNDENTE
ZONA 7,LOJA,LOJA,LOJA,LOJA,-4.00414,-79.19355,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,AMENAZA,25,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,3,0,11,MANANA,OTRAS
ZONA 5,GUAYAS,NARANJAL BALAO,GUAYAS,BALAO,-2.91384,-79.81385,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,ROBO DE MOTOS,38,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,7,MANANA,ARMA_CONTUNDENTE
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,0.90191,-79.69179,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,EVASION DE LA JUSTICIA,19,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,19,NOCHE,ARMA_BLANCA
ZONA 5,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,-2.24281,-80.83384,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,23,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,18,NOCHE,ARMA_BLANCA
ZONA 7,EL ORO,MACHALA,EL ORO,MACHALA,-3.2459,-79.95079,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,17,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,6,MANANA,ARMA_BLANCA
ZONA 5,LOS RIOS,QUEVEDO,LOS RIOS,QUEVEDO,-1.00965,-79.50874,URBANO,FINCA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,24,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,20,NOCHE,OTRAS
ZONA 5,GUAYAS,NARANJAL BALAO,GUAYAS,BALAO,-2.91574,-79.76626,RURAL,BARES,PRIVADO,DELINCUENCIA COMUN,AMENAZA,37,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,3,MADRUGADA,ARMA_BLANCA
ZONA 3,TUNGURAHUA,AMBATO SUR,TUNGURAHUA,AMBATO,-1.27551,-78.62331,URBANO,CASA/VILLA,PRIVADO,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,21,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,2,MADRUGADA,ARMA_BLANCA
ZONA 4,STO DGO DE LOS TSACHILAS,SANTO DOMINGO OESTE,STO DGO DE LOS TSACHILAS,SANTO DOMINGO,-0.24421,-79.18938,URBANO,QUEBRADAS,PUBLICO,DELINCUENCIA COMUN,AMENAZA,22,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,4,MADRUGADA,OTRAS
ZONA 2,ORELLANA,LA JOYA DE LOS SACHAS,ORELLANA,LA JOYA DE LOS SACHAS,-0.30635,-76.83252,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,30,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,5,MADRUGADA,ARMA_FUEGO
ZONA 8,D.M. GUAYAQUIL,CEIBOS,GUAYAS,GUAYAQUIL,-2.14043,-79.94712,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,51,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,3,0,0,MADRUGADA,OTRAS
ZONA 5,GUAYAS,YAGUACHI,GUAYAS,SAN JACINTO DE YAGUACHI,-2.09678,-79.70325,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,ROBO A DOMICILIOS,63,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,18,NOCHE,ARMA_CONTUNDENTE
ZONA 4,MANABI,CHONE,MANABI,CHONE,-0.68977,-80.10422,URBANO,QUEBRADAS,PUBLICO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),45,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,0,0,1,MADRUGADA,ARMA_BLANCA
ZONA 4,MANABI,PEDERNALES,MANABI,PEDERNALES,0.09999,-80.04569,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,16,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,14,TARDE,OTRAS
ZONA 5,LOS RIOS,QUEVEDO,LOS RIOS,QUEVEDO,-1.04251,-79.46658,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,32,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,23,NOCHE,ARMA_FUEGO
ZONA 5,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,-2.2243,-80.85492,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,18,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,2,MADRUGADA,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,DURAN,GUAYAS,DURAN,-2.16636,-79.80235,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,45,HOMBRE,AFRO,CASADO,ECUADOR,NINGUNA,3,0,4,MADRUGADA,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUAYAS,GUAYAQUIL,-2.27144,-79.89157,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,52,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,3,MADRUGADA,ARMA_BLANCA
ZONA 5,LOS RIOS,BUENA FE,LOS RIOS,BUENA FE,-0.90277,-79.47746,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,45,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,22,NOCHE,OTRAS
ZONA 5,GUAYAS,PEDRO CARBO,GUAYAS,PEDRO CARBO,-1.82284,-80.24543,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,21,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,18,NOCHE,ARMA_CONTUNDENTE
ZONA 2,NAPO,TENA,NAPO,TENA,-0.99179,-77.81933,URBANO,BARES,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,26,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,0,MADRUGADA,ARMA_BLANCA
ZONA 5,GUAYAS,NARANJAL BALAO,GUAYAS,NARANJAL,-2.607663,-79.641292,RURAL,HACIENDAS,PRIVADO,VIOLENCIA COMUNITARIA,DEUDAS,33,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,5,MADRUGADA,ARMA_FUEGO
ZONA 5,BOLIVAR,GUARANDA,BOLIVAR,GUARANDA,-1.62547,-79.02611,RURAL,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,ROBO A DOMICILIOS,87,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,0,0,2,MADRUGADA,OTRAS
ZONA 6,AZUAY,CUENCA SUR,AZUAY,CUENCA,-2.918921,-79.031386,URBANO,CASA/VILLA,PRIVADO,VIOLENCIA INTRAFAMILIAR,MALTRATO,23,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,3,0,4,MADRUGADA,ARMA_FUEGO
ZONA 3,CHIMBORAZO,RIOBAMBA,CHIMBORAZO,CHAMBO,-1.73728,-78.59389,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,40,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,0,MADRUGADA,ARMA_BLANCA
ZONA 4,MANABI,JIPIJAPA,MANABI,JIPIJAPA,-1.36004,-80.5847,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,20,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,16,TARDE,OTRAS
ZONA 3,CHIMBORAZO,RIOBAMBA,CHIMBORAZO,CHAMBO,-1.71753,-78.61695,RURAL,RIO,PUBLICO,VIOLENCIA INTRAFAMILIAR,MALTRATO,31,MUJER,INDIGENA,CASADO,ECUADOR,NINGUNA,0,0,14,TARDE,OTRAS
ZONA 5,LOS RIOS,VENTANAS,LOS RIOS,QUINSALOMA,-1.26422,-79.40716,RURAL,FINCA,PRIVADO,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,24,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,5,1,21,NOCHE,OTRAS
ZONA 8,D.M. GUAYAQUIL,DURAN,GUAYAS,DURAN,-2.28692,-79.71465,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,ROBO A DOMICILIOS,53,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,17,TARDE,ARMA_FUEGO
ZONA 8,D.M. GUAYAQUIL,FLORIDA,GUAYAS,GUAYAQUIL,-2.16701,-79.91634,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,EMOCIONAL,27,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,3,MADRUGADA,OTRAS
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,0.75384,-79.58917,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,36,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,6,MANANA,ARMA_BLANCA
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,0.92254,-79.69123,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,30,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,9,MANANA,ARMA_FUEGO
ZONA 9,D.M. QUITO,LA DELICIA,PICHINCHA,QUITO,-0.016131,-78.453804,RURAL,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,ROBO A PERSONAS,61,HOMBRE,MESTIZO/A,VIUDO,ECUADOR,NINGUNA,1,0,10,MANANA,ARMA_CONTUNDENTE
ZONA 2,NAPO,TENA,NAPO,TENA,-0.99899,-77.81199,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),33,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,22,NOCHE,ARMA_FUEGO
ZONA 5,LOS RIOS,VINCES,LOS RIOS,VINCES,-1.53455,-79.74412,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,36,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,2,MADRUGADA,ARMA_BLANCA
ZONA 7,EL ORO,MACHALA,EL ORO,MACHALA,-3.24807,-79.99365,RURAL,TERRENO BALDIO,PUBLICO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),52,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,FISICA,6,1,6,MANANA,OTRAS
ZONA 7,EL ORO,PASAJE,EL ORO,PASAJE,-3.28091,-79.82099,RURAL,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,ROBO A DOMICILIOS,52,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,20,NOCHE,ARMA_FUEGO
ZONA 6,AZUAY,CUENCA SUR,AZUAY,CUENCA,-2.89443,-79.29234,RURAL,LAGUNA - LAGO,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,17,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,3,MADRUGADA,ARMA_CONTUNDENTE
ZONA 5,LOS RIOS,BABAHOYO,LOS RIOS,BABAHOYO,-1.8119,-79.49677,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,35,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,18,NOCHE,ARMA_FUEGO
ZONA 7,LOJA,LOJA,LOJA,LOJA,-3.90013,-79.2611,RURAL,CASA/VILLA,PUBLICO,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,48,MUJER,MESTIZO/A,CASADO,ECUADOR,NINGUNA,0,0,20,NOCHE,ARMA_BLANCA
ZONA 7,EL ORO,PASAJE,EL ORO,EL GUABO,-3.24627,-79.83601,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,36,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,0,MADRUGADA,ARMA_FUEGO
ZONA 7,LOJA,LOJA,LOJA,LOJA,-4.00446,-79.19343,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,AMENAZA,23,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,2,MADRUGADA,OTRAS
ZONA 9,D.M. QUITO,EUGENIO ESPEJO,PICHINCHA,QUITO,-0.13071,-78.51304,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,ROBO A PERSONAS,22,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,3,MADRUGADA,ARMA_BLANCA
ZONA 4,MANABI,MANTA,MANABI,MANTA,-0.9884,-80.71317,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),37,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,22,NOCHE,ARMA_FUEGO
ZONA 6,MORONA SANTIAGO,TAISHA,MORONA SANTIAGO,TAISHA,-2.3637,-77.51608,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,28,HOMBRE,INDIGENA,SOLTERO,ECUADOR,NINGUNA,1,0,23,NOCHE,ARMA_CONTUNDENTE
ZONA 5,GUAYAS,MILAGRO,GUAYAS,MILAGRO,-2.23589,-79.52096,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,22,HOMBRE,AFRO,SOLTERO,ECUADOR,NINGUNA,0,0,11,MANANA,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,PROGRESO,GUAYAS,GUAYAQUIL,-2.71091,-80.24804,URBANO,FERIAS LIBRES,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,18,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,21,NOCHE,OTRAS
ZONA 4,MANABI,24 DE MAYO,MANABI,OLMEDO,-1.39851,-80.18894,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,50,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,2,0,18,NOCHE,ARMA_FUEGO
ZONA 5,LOS RIOS,BABAHOYO,LOS RIOS,BABAHOYO,-1.81459506627442,-79.5143823634135,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),22,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,22,NOCHE,ARMA_FUEGO
ZONA 7,EL ORO,HUAQUILLAS,EL ORO,ARENILLAS,-3.50616,-80.04813,URBANO,CLINICAS,PRIVADO,DELINCUENCIA COMUN,AMENAZA,41,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,20,NOCHE,ARMA_CONTUNDENTE
ZONA 6,AZUAY,CUENCA SUR,AZUAY,CUENCA,-2.93477,-79.00534,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,VIOLENCIA COMUNITARIA,DEUDAS,27,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,18,NOCHE,ARMA_CONTUNDENTE
ZONA 4,MANABI,PICHINCHA,MANABI,PICHINCHA,-1.03888653908457,-79.83921128485238,RURAL,COOPERATIVA DE TRANSPORTES,PRIVADO,DELINCUENCIA COMUN,ROBO EN EJES VIALES O CARRETERAS,34,MUJER,MESTIZO/A,CASADO,ECUADOR,NINGUNA,3,0,18,NOCHE,ARMA_FUEGO
